id,category,question,choice_a,choice_b,choice_c,choice_d,correct,explanation
37,イギリス,ビッグベンがある建物の名前は？,バッキンガム宮殿,ウェストミンスター宮殿,タワーブリッジ,セントポール大聖堂,b,ウェストミンスター宮殿（国会議事堂）の時計塔です。
38,イギリス,エディンバラの旧市街と新市街がある国はどこですか？,イングランド,スコットランド,ウェールズ,北アイルランド,b,スコットランドの首都エディンバラにあります。
39,イギリス,バース市街で有名なローマ時代の遺跡は？,ローマ浴場,円形闘技場,水道橋,城壁,a,ローマ時代の温泉浴場が残っています。
40,イギリス,カンタベリー大聖堂は何世紀に大司教が殺害された場所ですか？,10世紀,12世紀,14世紀,16世紀,b,1170年に大司教トマス・ベケットが殺害されました。
41,ドイツ,ケルン大聖堂の建築様式は何ですか？,ロマネスク様式,ゴシック様式,バロック様式,ルネサンス様式,b,世界最大級のゴシック建築の大聖堂です。
42,ドイツ,ノイシュヴァンシュタイン城を建てた王は誰ですか？,ルートヴィヒ1世,ルートヴィヒ2世,フリードリヒ1世,カール大帝,b,19世紀にルートヴィヒ2世が建てたロマンチックな城です。
43,ドイツ,ベルリンの博物館島にある博物館の数はいくつですか？,3つ,5つ,7つ,9つ,b,5つの世界的な博物館が集まっています。
44,ドイツ,バンベルクの旧市街が保存されている理由は何ですか？,戦災を免れた,計画的に保存,地震がない,離島だった,a,第二次世界大戦の被害を免れ中世の街並みが残りました。
45,ドイツ,アーヘン大聖堂はどの皇帝と関係がありますか？,カール大帝,フリードリヒ大王,ヴィルヘルム2世,ビスマルク,a,カール大帝（シャルルマーニュ）の宮殿礼拝堂でした。
46,中国,万里の長城の総延長はおよそどのくらいですか？,約2000km,約6000km,約10000km,約20000km,d,総延長は約21000kmに及びます。
47,中国,紫禁城がある都市はどこですか？,上海,北京,西安,南京,b,明清時代の皇宮で、北京の中心にあります。
48,中国,兵馬俑が発見された都市はどこですか？,北京,上海,西安,洛陽,c,秦の始皇帝陵の近くで発見されました。
49,中国,九寨溝の景観の特徴は何ですか？,砂漠,エメラルドグリーンの湖,雪山,火山,b,カルスト地形の美しい湖と滝が特徴です。
50,中国,麗江古城は何族の伝統的な街並みですか？,漢族,チベット族,ナシ族,回族,c,雲南省のナシ族の古い街並みが保存されています。
51,インド,タージ・マハルを建てた人物は誰ですか？,アクバル大帝,シャー・ジャハーン,アウラングゼーブ,バーブル,b,ムガル帝国第5代皇帝シャー・ジャハーンが妃のために建てました。
52,インド,アジャンタ石窟寺院の壁画は何教のものですか？,ヒンドゥー教,仏教,ジャイナ教,イスラム教,b,紀元前後から建造された仏教石窟寺院です。
53,インド,エローラ石窟群には何教の寺院がありますか？,仏教のみ,ヒンドゥー教のみ,仏教とヒンドゥー教,仏教・ヒンドゥー教・ジャイナ教,d,3つの宗教の寺院が混在する珍しい遺跡です。
54,インド,コナーラクの太陽神寺院はどの神を祀っていますか？,ヴィシュヌ,シヴァ,スーリヤ,ガネーシャ,c,太陽神スーリヤを祀る13世紀の寺院です。
55,インド,ハンピの建造物群があった王国は何ですか？,ムガル帝国,デリー・スルタン朝,ヴィジャヤナガル王国,マウリヤ朝,c,14-16世紀に栄えたヒンドゥー王国の都です。
56,カンボジア,アンコール・ワットを建設した王は誰ですか？,ジャヤヴァルマン2世,スーリヤヴァルマン2世,ジャヤヴァルマン7世,ウダヤディティヤヴァルマン2世,b,12世紀にスーリヤヴァルマン2世が建設しました。
57,カンボジア,アンコール・トムの中心寺院の名前は？,アンコール・ワット,バイヨン,タ・プローム,プレア・ヴィヒア,b,バイヨンには四面に顔が彫られた塔があります。
58,カンボジア,アンコール遺跡群は何教の寺院として建てられましたか？,仏教のみ,ヒンドゥー教のみ,ヒンドゥー教から仏教へ,イスラム教,c,当初はヒンドゥー教寺院として建てられました。
59,カンボジア,タ・プローム寺院の特徴は何ですか？,海に浮かぶ,樹木に覆われている,地下にある,氷河の中にある,b,巨大なガジュマルの木に覆われています。
60,カンボジア,アンコール遺跡群がある都市はどこですか？,プノンペン,シェムリアップ,バッタンバン,シアヌークビル,b,シェムリアップ近郊に遺跡群があります。
61,タイ,古都アユタヤは何世紀に建国されましたか？,12世紀,14世紀,16世紀,18世紀,b,1351年にアユタヤ朝が建国されました。
62,タイ,スコータイ歴史公園はタイ最初の何の遺跡ですか？,仏教寺院,王朝の都,港湾都市,要塞,b,13-15世紀のスコータイ王朝の都の遺跡です。
63,インドネシア,ボロブドゥール寺院遺跡群は何教の寺院ですか？,仏教,ヒンドゥー教,イスラム教,キリスト教,a,8-9世紀に建造された大乗仏教の寺院です。
64,インドネシア,プランバナン寺院群は何教の寺院ですか？,仏教,ヒンドゥー教,イスラム教,ジャイナ教,b,9世紀に建造されたヒンドゥー教寺院です。
65,ベトナム,ハロン湾の特徴的な地形は何ですか？,砂丘,奇岩,氷河,火山,b,石灰岩の奇岩が約1600も海上に突き出ています。
66,ベトナム,古都ホイアンは何世紀に貿易港として栄えましたか？,10-12世紀,13-15世紀,16-19世紀,20世紀,c,16-19世紀に国際貿易港として栄えました。
67,トルコ,イスタンブール歴史地域にある建造物はどれですか？,アヤソフィア,エフェソス,パムッカレ,カッパドキア,a,東ローマ帝国時代に建てられた大聖堂です。
68,トルコ,カッパドキアの特徴的な地形は何ですか？,砂漠,奇岩,氷河,ジャングル,b,凝灰岩が侵食されてできた奇岩地帯です。
69,トルコ,トロイの考古遺跡は何の戦争で有名ですか？,ペルシア戦争,トロイア戦争,ポエニ戦争,十字軍,b,ホメロスの叙事詩「イリアス」の舞台です。
70,ヨルダン,ペトラ遺跡の特徴は何ですか？,岩を削って作られた,海に浮かぶ,樹上に建設,氷の中に保存,a,岩山を削って作られた古代都市です。
71,エチオピア,ラリベラの岩窟教会群は何教の教会ですか？,カトリック,プロテスタント,エチオピア正教会,ギリシャ正教会,c,12-13世紀に岩を削って作られた教会群です。
72,ペルー,マチュ・ピチュを建設した文明は何ですか？,マヤ文明,アステカ文明,インカ文明,ナスカ文明,c,15世紀にインカ帝国が建設した空中都市です。
73,ペルー,ナスカとパルパの地上絵で最も有名な絵は何ですか？,ハチドリ,クモ,サル,コンドル,a,巨大なハチドリの地上絵が有名です。
74,ペルー,クスコ市街はどの文明の都でしたか？,マヤ文明,インカ文明,アステカ文明,ティワナク文明,b,インカ帝国の首都でした。
75,メキシコ,チチェン・イッツァはどの文明の遺跡ですか？,マヤ文明,アステカ文明,オルメカ文明,テオティワカン文明,a,マヤ文明とトルテカ文明の影響を受けた都市です。
76,メキシコ,テオティワカンの最大のピラミッドの名前は？,月のピラミッド,太陽のピラミッド,羽毛のピラミッド,ケツァルコアトルのピラミッド,b,太陽のピラミッドは高さ約65mです。
77,アメリカ,グランドキャニオンを形成した川の名前は？,ミシシッピ川,コロラド川,ミズーリ川,リオグランデ川,b,コロラド川が数百万年かけて侵食しました。
78,アメリカ,自由の女神像はどの国から贈られましたか？,イギリス,フランス,スペイン,イタリア,b,1886年にフランスから贈られました。
79,アメリカ,イエローストーン国立公園の特徴は何ですか？,砂漠,間欠泉,氷河,熱帯雨林,b,世界初の国立公園で、間欠泉が有名です。
80,カナダ,カナディアン・ロッキー山脈自然公園群で有名な湖は？,レイクルイーズ,五大湖,グレートベア湖,ウィニペグ湖,a,エメラルドグリーンの湖で有名です。
81,ブラジル,リオデジャネイロの山と海との間のカリオカの景観群で有名な像は？,自由の女神,キリスト像,仏像,騎馬像,b,コルコバードの丘に立つキリスト像です。
82,ブラジル,イグアス国立公園の特徴は何ですか？,砂漠,大瀑布,氷河,熱帯雨林,b,世界最大級の滝があります。
83,オーストラリア,シドニー・オペラハウスの設計者は誰ですか？,フランク・ロイド・ライト,ヨーン・ウツソン,アントニオ・ガウディ,ル・コルビュジエ,b,デンマーク人建築家ヨーン・ウツソンが設計しました。
84,オーストラリア,グレート・バリア・リーフは何で有名ですか？,砂漠,サンゴ礁,氷河,火山,b,世界最大のサンゴ礁地帯です。
85,オーストラリア,ウルル-カタ・ジュタ国立公園のウルルの別名は？,エアーズロック,マウントクック,テーブルマウンテン,キリマンジャロ,a,先住民アボリジニの聖地です。
86,ニュージーランド,トンガリロ国立公園は何教の聖地ですか？,キリスト教,マオリの信仰,仏教,イスラム教,b,先住民マオリの聖なる山があります。
87,世界遺産,世界遺産条約が採択された年はいつですか？,1962年,1972年,1982年,1992年,b,1972年のユネスコ総会で採択されました。
88,世界遺産,世界遺産は何種類に分類されますか？,2種類,3種類,4種類,5種類,b,文化遺産、自然遺産、複合遺産の3種類です。
89,世界遺産,世界遺産条約の正式名称に含まれる言葉は？,平和,文化,保護,未来,c,「世界の文化遺産及び自然遺産の保護に関する条約」です。
90,世界遺産,危機遺産リストに登録される理由は何ですか？,観光客が多い,保存状態が危機的,新しい遺産,人気がある,b,重大な危機にさらされている遺産が登録されます。
91,世界遺産,世界遺産委員会の委員国は何カ国ですか？,11カ国,16カ国,21カ国,26カ国,c,21カ国が委員を務めます。
92,世界遺産,無形文化遺産に登録される対象は何ですか？,建造物,自然,伝統芸能や祭り,絵画,c,形のない文化的な伝統が対象です。
93,世界遺産,日本の無形文化遺産に含まれるものはどれですか？,富士山,和食,京都,姫路城,b,和食は2013年に無形文化遺産に登録されました。
94,世界遺産,世界遺産の登録基準は全部でいくつありますか？,6つ,8つ,10つ,12つ,c,文化遺産6つ、自然遺産4つの計10の基準があります。
95,世界遺産,世界で最も世界遺産が多い国はどこですか（2023年時点）？,中国,イタリア,スペイン,フランス,b,イタリアは59件で世界最多です。
96,世界遺産,ユネスコの本部がある都市はどこですか？,ニューヨーク,ジュネーブ,パリ,ロンドン,c,フランスのパリに本部があります。
97,世界遺産,世界遺産に登録されるための条件の一つは何ですか？,顕著な普遍的価値,経済的価値,軍事的価値,商業的価値,a,OUV（Outstanding Universal Value）が必要です。
98,世界遺産,負の遺産として登録されている遺産はどれですか？,エッフェル塔,原爆ドーム,自由の女神,ピサの斜塔,b,戦争の悲惨さを伝える負の遺産です。
99,世界遺産,文化的景観として登録されることの多い遺産は何ですか？,城,棚田,博物館,図書館,b,人間と自然の相互作用で生まれた景観です。
100,世界遺産,トランスバウンダリー・サイトとは何ですか？,海底遺産,複数国にまたがる遺産,危機遺産,無形遺産,b,国境を越えて広がる世界遺産です。
